Corporation,Rating,Credit_Score,Default_Probability,Raw_Log_Odds,Score_Percentile
Eastman Chemical Co.,BBB,1000,0.0,-5.85357813030666,50.0064061499039
Eastman Kodak Co.,CC,1000,1.0,7.029169364612235,50.0064061499039
Ecolab Inc.,A,1000,0.0,-9.196551113553566,50.0064061499039
Eli Lilly & Co.,AA-,1000,0.0,-11.41305014212199,50.0064061499039
Emerson Electric Co.,A,1000,0.0,-9.641021229689576,50.0064061499039
Enbridge Inc.,A-,1000,0.0,-7.708091073686729,50.0064061499039
Endo International PLC,BB-,1000,0.0,-1.7687675077137914,50.0064061499039
EnerSys,BB,1000,0.0,-2.7027187919688807,50.0064061499039
Entergy Corp,BBB-,1000,0.0,-4.462909873619205,50.0064061499039
Enterprise Products Operating LLC,BBB-,1000,0.0,-4.876976035804196,50.0064061499039
Enterprise Products Operating LLC,BBB-,1000,0.0,-4.876976035804196,50.0064061499039
Equifax Inc.,BBB+,1000,0.0,-7.023502100617412,50.0064061499039
Equinix Inc.,BB-,1000,0.0,-1.3566335025439464,50.0064061499039
Equinix Inc.,BB-,1000,0.0,-1.3566335025439464,50.0064061499039
Exelon Corp.,BBB,1000,0.0,-5.679350742674968,50.0064061499039
Exelon Corp.,BBB-,1000,0.0,-4.599016215746696,50.0064061499039
Exxon Mobil Corp.,AAA,1000,0.0,-15.21171852602537,50.0064061499039
FMC Technologies Inc.,A,1000,0.0,-9.030900860791794,50.0064061499039
FedEx Corp.,BBB,1000,0.0,-6.089853322857669,50.0064061499039
Fiserv Inc.,BBB-,1000,0.0,-4.8120719836575265,50.0064061499039
Flowserve Corp.,BB-,1000,0.0,-1.7605030026292177,50.0064061499039
Fluor Corp.,A,1000,0.0,-9.924121471480822,50.0064061499039
General Mills Inc.,A,1000,0.0,-9.47077618748166,50.0064061499039
"Gilead Sciences, Inc.",BBB,1000,0.0,-6.435215283110722,50.0064061499039
"Gilead Sciences, Inc.",A-,1000,0.0,-8.595884336967275,50.0064061499039
GlaxoSmithKline Capital Inc.,AA,1000,0.0,-12.799214459830901,50.0064061499039
Great Lakes Dredge & Dock Corp.,B,1000,0.008771929824561403,0.4191382038029836,50.0064061499039
Great Lakes Dredge & Dock Corp.,B,1000,0.008771929824561403,0.4191382038029836,50.0064061499039
Greenbrier Companies Inc. (The),CCC,1000,1.0,4.226267492146022,50.0064061499039
Greenbrier Companies Inc. (The),CCC,1000,1.0,4.226267492146022,50.0064061499039
Greif Inc.,BB+,1000,0.0,-3.7410804781789473,50.0064061499039
Greif Inc.,BB,1000,0.0,-2.6607459512506733,50.0064061499039
Griffon Corp.,BB+,1000,0.0,-3.5067611724133645,50.0064061499039
Griffon Corp.,BB+,1000,0.0,-3.5067611724133645,50.0064061499039
Group 1 Automotive Inc.,B,1000,0.008771929824561403,0.3758465929667967,50.0064061499039
Hanesbrands Inc.,BB-,1000,0.0,-1.8365851798242954,50.0064061499039
Harley-Davidson Inc.,BBB,1000,0.0,-5.424263322983245,50.0064061499039
Hershey Company (The),AA,1000,0.0,-12.615030716879142,50.0064061499039
Honeywell International Inc.,AA,1000,0.0,-12.743899283698068,50.0064061499039
Hunt (J.B.) Transport Services Inc.,A,1000,0.0,-9.548251207116108,50.0064061499039
IDACORP Inc.,A,1000,0.0,-8.604468351276369,50.0064061499039
IDEX Corp.,BBB-,1000,0.0,-5.132464322778777,50.0064061499039
ITT Corp.,BBB+,1000,0.0,-5.907541838686932,50.0064061499039
Illinois Tool Works Inc.,AA,1000,0.0,-12.524013070490577,50.0064061499039
Illinois Tool Works Inc.,A+,1000,0.0,-10.363344016634029,50.0064061499039
Ingredion Incorporated,BBB,1000,0.0,-6.230179567609039,50.0064061499039
Intel Corp.,A,1000,0.0,-9.69674089096163,50.0064061499039
Intel Corp.,A,1000,0.0,-9.69674089096163,50.0064061499039
Interpublic Group of Cos. Inc.,BB+,1000,0.0,-3.719473514249012,50.0064061499039
Iridium Communications Inc.,B,1000,0.05263157894736842,0.6668530078049528,50.0064061499039
Jabil Inc.,BB-,1000,0.0,-2.2056321042989655,50.0064061499039
JetBlue Airways Corporation,B+,1000,0.008771929824561403,0.1744349272272423,50.0064061499039
Johnson & Johnson,AAA,1000,0.0,-14.622363512090184,50.0064061499039
Johnson & Johnson,AAA,1000,0.0,-14.622363512090184,50.0064061499039
Johnson (S.C.) & Son Inc.,A,1000,0.0,-9.220690877448812,50.0064061499039
Johnson Controls Inc.,BBB-,1000,0.0,-5.1574574553527555,50.0064061499039
KB Home,B-,1000,1.0,2.504935990462158,50.0064061499039
KB Home,CCC+,1000,1.0,3.5852705173904322,50.0064061499039
KB Home,B-,1000,1.0,2.504935990462158,50.0064061499039
Kennametal Inc.,BBB,1000,0.0,-6.183513784188239,50.0064061499039
Kimberly-Clark Corp.,BBB+,1000,0.0,-7.033215960961071,50.0064061499039
Kinross Gold Corp.,BBB-,1000,0.0,-4.9603386435975505,50.0064061499039
Kohl's Corp.,BBB+,1000,0.0,-7.226923412183263,50.0064061499039
Kohl's Corp.,BBB+,1000,0.0,-7.226923412183263,50.0064061499039
Koninklijke Philips N.V.,A-,1000,0.0,-7.981019801396036,50.0064061499039
Koninklijke Philips N.V.,A-,1000,0.0,-7.981019801396036,50.0064061499039
Koppers Holdings Inc.,B+,1000,0.0,-0.7955870148990822,50.0064061499039
Korea Electric Power Corp.,A,1000,0.0,-8.948678839838292,50.0064061499039
Lam Research Corp.,BB+,1000,0.0,-4.208006368840895,50.0064061499039
Lamar Advertising Co.,B-,1000,0.980952380952381,2.5865080991323577,50.0064061499039
Louisiana-Pacific Corp.,B,1000,0.101010101010101,0.8233265846088642,50.0064061499039
"M/I Homes, Inc.",C,1000,1.0,8.577857366176705,50.0064061499039
"M/I Homes, Inc.",CCC,1000,1.0,4.256519258463608,50.0064061499039
MGM Resorts International,CCC-,1000,1.0,6.0198168148262,50.0064061499039
MGM Resorts International,CCC,1000,1.0,4.939482287897925,50.0064061499039
Madison Gas & Electric Co.,AAA,1000,0.0,-14.298921957591274,50.0064061499039
Magellan Midstream Partners LP,BBB,1000,0.0,-5.631883894060312,50.0064061499039
Marathon Oil Corporation,BBB-,1000,0.0,-4.882619106399156,50.0064061499039
Martin Marietta Materials Inc.,A,1000,0.0,-9.058025134802284,50.0064061499039
MasTec Inc.,B+,1000,0.0,-1.0180778953576795,50.0064061499039
McCormick & Co. Inc.,A-,1000,0.0,-8.564444977232034,50.0064061499039
McCormick & Co. Inc.,A-,1000,0.0,-8.564444977232034,50.0064061499039
Merck Sharpe & Dohme Corp.,AAA,1000,0.0,-14.433338287018104,50.0064061499039
Meritage Homes Corporation,B+,1000,0.008771929824561403,-0.12116902974056565,50.0064061499039
Meritor Inc.,CCC+,1000,1.0,3.203175683375199,50.0064061499039
Methanex Corp.,BBB-,1000,0.0,-4.6341923029726555,50.0064061499039
Methanex Corp.,BBB-,1000,0.0,-4.6341923029726555,50.0064061499039
Micron Technology Inc.,BB-,1000,0.0,-1.8810973504323858,50.0064061499039
Micron Technology Inc.,BB-,1000,0.0,-1.8810973504323858,50.0064061499039
Microsoft Corp.,AAA,1000,0.0,-14.924036762984185,50.0064061499039
Mobile TeleSystems PJSC,BB,1000,0.0,-2.5340284621713263,50.0064061499039
Mobile TeleSystems PJSC,BB,1000,0.0,-2.5340284621713263,50.0064061499039
Mobile TeleSystems PJSC,BB,1000,0.0,-2.5340284621713263,50.0064061499039
Mohawk Industries Inc.,BB+,1000,0.0,-3.640199843863458,50.0064061499039
Mohawk Industries Inc.,BB+,1000,0.0,-3.640199843863458,50.0064061499039
"Mondelez International, Inc.",BBB-,1000,0.0,-4.1964760240707,50.0064061499039
"Mondelez International, Inc.",A,1000,0.0,-8.517814131783796,50.0064061499039
Moody's Corporation,BBB+,1000,0.0,-6.717498234187451,50.0064061499039
Moody's Corporation,BBB+,1000,0.0,-6.717498234187451,50.0064061499039
Mosaic Co. (The),BBB,1000,0.0,-6.571902932823919,50.0064061499039
Motorola Solutions Inc.,BBB-,1000,0.0,-4.508948501286939,50.0064061499039
Mueller Water Products Inc.,CCC+,1000,1.0,3.2034482660472934,50.0064061499039
Murphy Oil Corp.,BBB-,1000,0.0,-5.325808199286268,50.0064061499039
NIKE Inc.,AA,1000,0.0,-12.946651590630553,50.0064061499039
Nabors Industries Inc.,BBB,1000,0.0,-5.7529655274623295,50.0064061499039
National Fuel Gas Co.,BBB,1000,0.0,-5.6507812651738725,50.0064061499039
National Grid Gas PLC,A-,1000,0.0,-7.586726165143224,50.0064061499039
New York Times Co. (The),B+,1000,0.008771929824561403,0.19717151722282544,50.0064061499039
Newell Brands Inc.,BBB-,1000,0.0,-4.750553807577104,50.0064061499039
Newell Brands Inc.,BBB-,1000,0.0,-4.750553807577104,50.0064061499039
Newmont USA Ltd.,BBB+,1000,0.0,-7.287149256420493,50.0064061499039
NextEra Energy Inc.,BBB+,1000,0.0,-6.6172836356082065,50.0064061499039
Nokia Corp.,BBB+,1000,0.0,-7.1254743474626725,50.0064061499039
Nokia Corp.,BBB,1000,0.0,-6.0451398205343985,50.0064061499039
Norfolk Southern Corp.,BBB+,1000,0.0,-6.845550636836721,50.0064061499039
Norfolk Southern Corp.,BBB+,1000,0.0,-6.845550636836721,50.0064061499039
Northrop Grumman Corp.,BBB,1000,0.0,-5.891113165547781,50.0064061499039
Northwest Natural Gas Co.,A-,1000,0.0,-7.677755435257046,50.0064061499039
Nucor Corp.,AA,1000,0.0,-12.450889594948906,50.0064061499039
O'Reilly Automotive Inc.,BBB-,1000,0.0,-5.009550095341753,50.0064061499039
O'Reilly Automotive Inc.,BBB-,1000,0.0,-5.009550095341753,50.0064061499039
Olin Corp.,B,1000,0.008771929824561403,0.30857649714150703,50.0064061499039
Olin Corp.,BB,1000,0.0,-2.932427083643315,50.0064061499039
Omnicom Group Inc.,BBB+,1000,0.0,-7.073546127197416,50.0064061499039
Open Text Corporation,BBB,1000,0.0,-6.058482483144775,50.0064061499039
Otter Tail Corporation,BB+,1000,0.0,-3.355106075652282,50.0064061499039
PACCAR Inc.,A+,1000,0.0,-10.062696459411585,50.0064061499039
PACCAR Inc.,A+,1000,0.0,-10.062696459411585,50.0064061499039
PG&E Corp.,BBB,1000,0.0,-5.429395868894444,50.0064061499039
PG&E Corp.,BBB,1000,0.0,-5.429395868894444,50.0064061499039
PG&E Corp.,BBB-,1000,0.0,-4.349061341966172,50.0064061499039
PLDT Inc.,BB+,1000,0.0,-3.851514198344301,50.0064061499039
PLDT Inc.,BB+,1000,0.0,-3.851514198344301,50.0064061499039
PNM Resources Inc,BB,1000,0.0,-2.0483808628117153,50.0064061499039
POSCO,A,1000,0.0,-9.349822745201644,50.0064061499039
POSCO,A-,1000,0.0,-8.269488218273372,50.0064061499039
PPG Industries Inc.,A,1000,0.0,-9.439545021847684,50.0064061499039
Packaging Corp. of America,BBB,1000,0.0,-6.412292400963402,50.0064061499039
Packaging Corp. of America,BBB,1000,0.0,-6.412292400963402,50.0064061499039
Peabody Energy Corp.,BB+,1000,0.0,-3.762144026199252,50.0064061499039
Pearson PLC,BBB+,1000,0.0,-6.563482846303833,50.0064061499039
PepsiCo Inc.,AA,1000,0.0,-12.730989944472176,50.0064061499039
PepsiCo Inc.,A-,1000,0.0,-8.40965183675908,50.0064061499039
PerkinElmer Inc.,BBB,1000,0.0,-5.816696621135829,50.0064061499039
PerkinElmer Inc.,BBB,1000,0.0,-5.816696621135829,50.0064061499039
Pioneer Natural Resources Co.,BB+,1000,0.0,-2.9810104291100394,50.0064061499039
Pitney Bowes Inc.,A,1000,0.0,-8.521131407848296,50.0064061499039
Plains All American Pipeline L.P.,BBB-,1000,0.0,-5.174475101578075,50.0064061499039
Plains All American Pipeline L.P.,BBB-,1000,0.0,-5.174475101578075,50.0064061499039
Portland General Electric Co.,A,1000,0.0,-8.719292724706593,50.0064061499039
Precision Drilling Corp.,BB+,1000,0.0,-3.7194305519379416,50.0064061499039
Quest Diagnostics Inc.,BBB+,1000,0.0,-7.3888659831389685,50.0064061499039
Range Resources Corp.,BB,1000,0.0,-2.404723986013007,50.0064061499039
Range Resources Corp.,BB,1000,0.0,-2.404723986013007,50.0064061499039
Rent-A-Center Inc.,BB-,1000,0.0,-1.36888438624187,50.0064061499039
Rockwell Automation Inc.,A,1000,0.0,-9.149561644317453,50.0064061499039
Rogers Communications Inc.,BBB,1000,0.0,-6.167725265523048,50.0064061499039
Royal Caribbean Cruises Ltd.,BB,1000,0.0,-2.2974348658313044,50.0064061499039
"Ryman Hospitality Properties, Inc.",B-,1000,0.980952380952381,2.4572097902236703,50.0064061499039
"Ryman Hospitality Properties, Inc.",B,1000,0.356203584577705,1.3768752632953944,50.0064061499039
SK Telecom Co. Ltd.,A,1000,0.0,-9.027714050559174,50.0064061499039
Sanofi,AA-,1000,0.0,-11.086624160916559,50.0064061499039
Sanofi,AAA,1000,0.0,-14.327627741701383,50.0064061499039
Scholastic Corp.,BB-,1000,0.0,-1.677854731294845,50.0064061499039
Scotts Miracle-Gro Co. (The),BB-,1000,0.0,-1.729300153775755,50.0064061499039
Seagate Technology plc,BB+,1000,0.0,-4.315613549851799,50.0064061499039
Shaw Communications Inc.,BBB,1000,0.0,-5.603538978073162,50.0064061499039
Shaw Communications Inc.,BBB-,1000,0.0,-4.379189130739158,50.0064061499039
Silgan Holdings Inc.,BB-,1000,0.0,-1.897967257878948,50.0064061499039
Silgan Holdings Inc.,BB-,1000,0.0,-1.897967257878948,50.0064061499039
Sinclair Broadcast Group Inc.,B,1000,0.48148148148148157,1.302814880142252,50.0064061499039
Sinclair Broadcast Group Inc.,B,1000,0.48148148148148157,1.302814880142252,50.0064061499039
Sinclair Broadcast Group Inc.,B,1000,0.48148148148148157,1.302814880142252,50.0064061499039
Snap-on Inc.,A-,1000,0.0,-7.767411415483993,50.0064061499039
Sonic Automotive Inc.,B,1000,0.0,0.16977419833369467,50.0064061499039
Sonoco Products Co.,BBB+,1000,0.0,-7.253375614138902,50.0064061499039
Sonoco Products Co.,BBB+,1000,0.0,-7.253375614138902,50.0064061499039
Sonoco Products Co.,BBB+,1000,0.0,-7.253375614138902,50.0064061499039
Sony Corp.,A-,1000,0.0,-7.902729496277447,50.0064061499039
Southern Copper Corp.,BBB-,1000,0.0,-5.331563115442208,50.0064061499039
Southern Power Company,A,1000,0.0,-9.652901223155302,50.0064061499039
Southern Power Company,BBB+,1000,0.0,-7.492232169298754,50.0064061499039
Southern Power Company,BBB+,1000,0.0,-7.492232169298754,50.0064061499039
Southwest Airlines Co.,BBB-,1000,0.0,-4.824477116733309,50.0064061499039
Southwest Gas Corp.,BBB+,1000,0.0,-6.523749308941479,50.0064061499039
Stanley Black & Decker Inc.,A,1000,0.0,-9.276634623723892,50.0064061499039
Stanley Black & Decker Inc.,BBB+,1000,0.0,-7.115965569867344,50.0064061499039
Starbucks Corp.,A,1000,0.0,-9.770683066920059,50.0064061499039
Target Corp.,A+,1000,0.0,-10.489309630133713,50.0064061499039
Teck Resources Ltd.,BBB,1000,0.0,-6.007952078770723,50.0064061499039
Teleflex Incorporated,BB-,1000,0.0,-1.2539101274907605,50.0064061499039
Teleflex Incorporated,BB-,1000,0.0,-1.2539101274907605,50.0064061499039
Telephone and Data Systems Inc.,BBB-,1000,0.0,-4.642442631301858,50.0064061499039
Tenet Healthcare Corp.,CCC+,1000,0.8698412698412699,2.3854304807142377,50.0064061499039
Tenet Healthcare Corp.,BB-,1000,0.0,-1.9359076269988602,50.0064061499039
Tenneco Inc.,B+,1000,0.0,-1.1339118487753392,50.0064061499039
Terex Corp.,BB-,1000,0.0,-1.0799724460816016,50.0064061499039
Thomson Reuters Corp.,A,1000,0.0,-9.10266577444388,50.0064061499039
Thomson Reuters Corp.,A-,1000,0.0,-8.022331247515607,50.0064061499039
Toll Brothers Inc.,BB+,1000,0.0,-3.226945485542469,50.0064061499039
Toll Brothers Inc.,BB,1000,0.0,-2.1466109586141933,50.0064061499039
TransAlta Corp.,BB+,1000,0.0,-3.251725439121234,50.0064061499039
"TreeHouse Foods, Inc.",BB-,1000,0.0,-1.6294651694175144,50.0064061499039
Trinity Industries Inc.,BB-,1000,0.0,-1.1100115021132275,50.0064061499039
Triton Container International Ltd.,BBB,1000,0.0,-5.240348027564378,50.0064061499039
Triton Container International Ltd.,BBB,1000,0.0,-5.240348027564378,50.0064061499039
Tupperware Brands Corporation,BBB-,1000,0.0,-4.838207663240691,50.0064061499039
Tutor Perini Corporation,BB-,1000,0.0,-1.841276757226284,50.0064061499039
Unisys Corp.,B,1000,0.0,0.12563940129252238,50.0064061499039
United Rentals Inc.,B,1000,0.008771929824561403,0.43495702886379384,50.0064061499039
United States Cellular Corporation,BBB-,1000,0.0,-4.670646969978293,50.0064061499039
Vail Resorts Inc.,BB-,1000,0.0,-1.3746261408973055,50.0064061499039
